Time,Temperature,Humidity
20260624T012406Z,23.0,86.4
20260624T012420Z,22.9,86.3
20260624T012435Z,22.8,85.4
20260624T012449Z,22.8,87.7
20260624T012504Z,22.7,85.0
20260624T012519Z,22.6,83.3
20260624T012534Z,22.5,83.5
20260624T012549Z,22.4,82.7
20260624T012604Z,22.2,82.3
20260624T012619Z,22.2,86.5
20260624T012634Z,22.2,90.0
20260624T012649Z,22.4,91.9
20260624T012704Z,22.5,92.1
20260624T012719Z,22.7,91.6
20260624T012734Z,22.9,92.2
20260624T012749Z,23.1,92.2
20260624T012804Z,23.3,92.0
20260624T012819Z,23.4,91.8
20260624T012834Z,23.6,91.6
20260624T012849Z,23.7,91.6
20260624T012904Z,23.8,91.8
20260624T012919Z,23.9,91.8
20260624T012934Z,24.1,91.5
20260624T012949Z,24.2,91.5
20260624T013004Z,24.3,91.6
20260624T013019Z,24.3,91.4
20260624T013034Z,24.4,91.5
20260624T013049Z,24.5,91.7
20260624T013104Z,24.6,91.5
20260624T013119Z,24.6,91.6
20260624T013134Z,24.7,91.7
20260624T013149Z,24.8,91.6
20260624T013205Z,24.8,91.9
20260624T013219Z,24.9,92.2
20260624T013234Z,24.9,92.1
20260624T013249Z,25.0,92.1
20260624T013305Z,25.0,92.1
20260624T013319Z,25.1,92.2
20260624T013334Z,25.1,92.2
20260624T013349Z,25.2,92.4
20260624T013404Z,25.2,92.7
20260624T013419Z,25.2,92.7
20260624T013434Z,25.3,92.6
20260624T013449Z,25.3,92.8
20260624T013504Z,25.3,92.8
20260624T013519Z,25.3,93.0
20260624T013534Z,25.4,92.7
20260624T013549Z,25.4,93.0
20260624T013604Z,25.5,93.3
20260624T013619Z,25.5,93.2
20260624T013634Z,25.5,93.2
20260624T013649Z,25.5,93.4
20260624T013704Z,25.6,93.2
20260624T013719Z,25.6,93.2
20260624T013734Z,25.6,93.5
20260624T013749Z,25.6,93.7
20260624T013804Z,25.7,93.7
20260624T013819Z,25.7,93.6
20260624T013834Z,25.7,93.7
20260624T013849Z,25.7,93.7
20260624T013904Z,25.8,94.1
20260624T013920Z,25.8,94.0
20260624T013934Z,25.8,94.0
20260624T013949Z,25.8,94.1
20260624T014004Z,25.9,94.3
20260624T014019Z,25.8,94.3
20260624T014034Z,25.9,94.4
20260624T014049Z,25.9,94.4
20260624T014104Z,25.9,94.5
20260624T014119Z,25.9,94.4
20260624T014134Z,26.0,94.5
20260624T014149Z,26.0,94.6
20260624T014204Z,26.0,94.6
20260624T014219Z,26.0,94.6
20260624T014234Z,26.0,94.8
20260624T014249Z,26.0,94.7
20260624T014304Z,26.0,94.9
20260624T014319Z,26.1,95.0
20260624T014334Z,26.1,95.0
