Time,Temperature,Humidity
20260614T121121Z,29.30001,76.20003
20260614T121136Z,29.30001,76.60002
20260614T121151Z,29.30001,76.5
20260614T121206Z,29.30001,76.60002
20260614T121221Z,29.20001,75.3
20260614T121236Z,29.20001,75.9
20260614T121252Z,29.20001,76.3
20260614T121307Z,29.20001,75.70003
20260614T121321Z,29.20001,76.3
20260614T121336Z,29.20001,75.8
20260614T121352Z,29.20001,75.9
20260614T121407Z,29.1,76.8
20260614T121421Z,29.1,76.0
20260614T121437Z,29.1,76.60002
20260614T121452Z,29.1,76.60002
20260614T121507Z,29.1,76.20003
20260614T121523Z,29.1,76.5
20260614T121537Z,29.1,76.0
20260614T121551Z,29.0,76.20003
20260614T121606Z,29.0,76.10002
20260614T121622Z,29.0,76.0
20260614T121637Z,29.0,75.9
20260614T121652Z,29.0,76.10002
20260614T121706Z,29.0,75.5
20260614T121721Z,29.0,75.60002
20260614T122234Z,28.80001,77.20003
20260614T122249Z,28.80001,76.9
20260614T122303Z,28.80001,76.4
20260614T122319Z,28.80001,76.8
20260614T122334Z,28.80001,77.20003
20260614T122348Z,28.80001,76.9
20260614T122403Z,28.9,77.9
20260614T122419Z,28.9,77.60002
20260614T122434Z,28.9,78.0
20260614T122449Z,29.0,79.20003
20260614T122504Z,29.0,78.10002
20260614T122519Z,29.0,78.4
20260614T122533Z,29.0,79.60002
20260614T122548Z,29.0,78.10002
20260614T122604Z,29.0,79.0
20260614T122619Z,29.0,78.5
20260614T122634Z,28.9,78.4
20260614T122650Z,29.0,76.70003
20260614T122705Z,29.0,77.20003
20260614T122720Z,29.0,78.10002
20260614T122735Z,29.0,78.0
20260614T122751Z,28.9,77.10002
20260614T122806Z,28.9,76.8
20260614T122821Z,28.9,75.5
20260614T122837Z,28.9,77.5
20260614T122852Z,28.9,76.8
20260614T122907Z,28.9,76.70003
20260614T122922Z,28.80001,76.3
20260614T122938Z,28.80001,76.4
20260614T122953Z,28.80001,77.9
20260614T123008Z,28.80001,77.20003
20260614T123023Z,28.80001,76.3
20260614T123039Z,28.80001,77.10002
20260614T123054Z,28.80001,74.70003
20260614T123109Z,28.80001,74.8
20260614T123125Z,28.80001,74.60002
20260614T123140Z,28.70001,74.5
20260614T123155Z,28.70001,74.4
20260614T123210Z,28.70001,74.3
20260614T123226Z,28.70001,74.5
20260614T123241Z,28.70001,75.0
20260614T123256Z,28.70001,75.20003
20260614T123312Z,28.70001,74.10002
20260614T123327Z,28.70001,74.70003
20260614T123342Z,28.70001,74.3
20260614T123357Z,28.70001,73.9
20260614T123413Z,28.6,73.60002
20260614T123428Z,28.6,74.0
20260614T123443Z,28.6,73.9
20260614T123458Z,28.6,74.10002
20260614T123513Z,28.6,73.9
20260614T123527Z,28.6,74.0
20260614T123542Z,28.6,74.10002
20260614T123557Z,28.6,74.0
20260614T123612Z,28.6,74.10002
20260614T123627Z,28.6,74.4
20260614T123642Z,28.6,74.60002
20260614T123658Z,28.6,74.4
20260614T123713Z,28.6,74.8
20260614T123728Z,28.5,74.3
20260614T123744Z,28.5,73.70003
20260614T123759Z,28.5,74.9
20260614T123814Z,28.6,75.20003
20260614T123829Z,28.5,75.20003
20260614T123845Z,28.5,74.5
20260614T123859Z,28.5,75.70003
20260614T123914Z,28.5,74.20003
20260614T123930Z,28.5,74.3
20260614T123945Z,28.5,73.5
20260614T124000Z,28.5,74.8
20260614T124015Z,28.5,74.5
20260614T124031Z,28.5,74.4
20260614T124046Z,28.5,74.20003
20260614T124101Z,28.5,74.70003
20260614T124116Z,28.5,74.60002
20260614T124132Z,28.5,73.8
20260614T124147Z,28.5,73.8
20260614T124202Z,28.5,75.0
20260614T124218Z,28.5,74.8
20260614T124233Z,28.5,76.3
20260614T124247Z,28.5,74.5
20260614T124302Z,28.5,75.0
20260614T124317Z,28.5,74.10002
20260614T124332Z,28.5,74.20003
20260614T124346Z,28.5,74.0
20260614T124402Z,28.5,74.0
20260614T124417Z,28.5,74.3
20260614T124432Z,28.5,74.9
20260614T124447Z,28.5,74.20003
20260614T124503Z,28.5,74.10002
20260614T124518Z,28.5,73.3
20260614T124532Z,28.5,74.20003
20260614T124548Z,28.5,73.9
20260614T124602Z,28.5,74.10002
20260614T124617Z,28.5,75.4
20260614T124632Z,28.5,74.3
20260614T124648Z,28.6,74.4
20260614T124703Z,28.6,74.70003
20260614T124718Z,28.6,73.70003
20260614T124733Z,28.5,74.10002
20260614T124749Z,28.5,73.3
20260614T124804Z,28.5,74.20003
20260614T124819Z,28.5,74.60002
20260614T124835Z,28.5,73.0
20260614T124850Z,28.5,73.3
20260614T124905Z,28.5,73.70003
20260614T124919Z,28.5,74.3
20260614T124935Z,28.5,73.8
20260614T124949Z,28.5,74.70003
20260614T125004Z,28.5,74.0
20260614T125020Z,28.5,73.8
20260614T125035Z,28.5,73.9
20260614T125050Z,28.5,74.60002
20260614T125105Z,28.5,73.60002
20260614T125121Z,28.5,74.5
20260614T125136Z,28.5,73.9
20260614T125151Z,28.5,73.70003
20260614T125207Z,28.5,74.0
20260614T125222Z,28.5,73.60002
20260614T125237Z,28.6,74.10002
20260614T125252Z,28.6,73.5
20260614T125308Z,28.6,73.8
20260614T125323Z,28.5,73.3
20260614T125338Z,28.5,73.70003
20260614T125353Z,28.5,72.9
20260614T125409Z,28.5,73.5
20260614T125423Z,28.5,73.4
20260614T125438Z,28.5,73.10002
20260614T125453Z,28.5,72.70003
20260614T125508Z,28.5,74.20003
20260614T125523Z,28.5,74.4
20260614T125538Z,28.4,73.4
20260614T125554Z,28.4,74.3
20260614T125609Z,28.4,73.3
20260614T125624Z,28.4,72.8
20260614T125640Z,28.4,74.20003
20260614T125655Z,28.4,73.8
20260614T125709Z,28.4,73.9
20260614T125724Z,28.4,74.3
20260614T125739Z,28.4,74.60002
20260614T125754Z,28.4,74.60002
20260614T125809Z,28.5,74.20003
20260614T125825Z,28.5,73.20003
20260614T125840Z,28.5,73.5
20260614T125855Z,28.4,72.60002
20260614T125910Z,28.4,72.4
20260614T125925Z,28.4,73.20003
20260614T125940Z,28.4,73.8
20260614T125954Z,28.4,73.60002
20260614T130009Z,28.4,74.0
20260614T130024Z,28.4,78.0
20260614T130039Z,28.5,73.9
20260614T130054Z,28.5,72.8
20260614T130110Z,28.5,73.10002
20260614T130125Z,28.5,73.60002
20260614T130140Z,28.5,72.70003
20260614T130155Z,28.5,74.0
20260614T130211Z,28.5,74.0
20260614T130226Z,28.5,73.8
20260614T130241Z,28.4,73.4
20260614T130257Z,28.4,73.9
20260614T130311Z,28.4,72.70003
20260614T130326Z,28.4,72.0
20260614T130340Z,28.4,73.10002
20260614T130356Z,28.4,73.20003
20260614T130411Z,28.4,73.70003
20260614T130426Z,28.4,73.3
20260614T130442Z,28.4,73.60002
20260614T130457Z,28.4,72.8
20260614T130512Z,28.4,72.9
20260614T130526Z,28.4,72.20003
20260614T130542Z,28.4,73.3
20260614T130556Z,28.4,74.3
20260614T130611Z,28.4,73.10002
20260614T130625Z,28.4,73.60002
20260614T130641Z,28.4,73.3
20260614T130656Z,28.4,73.10002
20260614T130711Z,28.5,72.9
20260614T130727Z,28.4,73.3
20260614T130742Z,28.4,72.5
20260614T130757Z,28.4,72.4
20260614T130812Z,28.4,72.5
20260614T130828Z,28.4,72.4
20260614T130843Z,28.4,73.8
20260614T130858Z,28.4,72.4
20260614T130913Z,28.30001,73.0
20260614T130928Z,28.4,74.10002
20260614T130942Z,28.4,73.8
20260614T130957Z,28.4,73.4
20260614T131013Z,28.4,73.5
