Time,Temperature,Humidity
20260617T000013Z,22.70001,82.3
20260617T000028Z,22.70001,82.10002
20260617T000043Z,22.70001,82.10002
20260617T000058Z,22.70001,82.10002
20260617T000114Z,22.70001,82.20003
20260617T000129Z,22.70001,81.9
20260617T000144Z,22.70001,82.10002
20260617T000159Z,22.70001,82.10002
20260617T000213Z,22.70001,82.3
20260617T000227Z,22.70001,82.0
20260617T000241Z,22.70001,82.10002
20260617T000256Z,22.70001,82.10002
20260617T000310Z,22.70001,82.0
20260617T000325Z,22.70001,82.10002
20260617T000340Z,22.6,81.9
20260617T000356Z,22.6,81.9
20260617T000411Z,22.70001,82.0
20260617T000426Z,22.6,81.8
20260617T000442Z,22.6,81.8
20260617T000457Z,22.70001,81.9
20260617T000512Z,22.70001,81.9
20260617T000527Z,22.70001,82.0
20260617T000543Z,22.70001,81.8
20260617T000558Z,22.6,81.8
20260617T000612Z,22.70001,81.70003
20260617T000627Z,22.70001,81.8
20260617T000641Z,22.70001,81.8
20260617T000655Z,22.70001,81.70003
20260617T000709Z,22.6,81.60002
20260617T000724Z,22.6,81.60002
20260617T000739Z,22.6,81.70003
20260617T000754Z,22.6,81.8
20260617T000810Z,22.6,81.70003
20260617T000825Z,22.6,81.60002
20260617T000840Z,22.6,81.5
20260617T000855Z,22.6,81.60002
20260617T000911Z,22.6,81.4
20260617T000926Z,22.6,81.60002
20260617T000941Z,22.6,81.5
20260617T000956Z,22.6,81.4
20260617T001012Z,22.6,81.5
20260617T001027Z,22.6,81.5
20260617T001041Z,22.6,81.60002
20260617T001056Z,22.6,81.60002
20260617T001110Z,22.6,81.60002
20260617T001124Z,22.6,81.3
20260617T001138Z,22.6,81.4
20260617T001154Z,22.6,81.3
20260617T001209Z,22.6,81.3
20260617T001224Z,22.6,80.9
20260617T001240Z,22.6,81.70003
20260617T001255Z,22.6,82.9
20260617T001310Z,22.6,82.8
20260617T001325Z,22.70001,82.8
20260617T001341Z,22.80001,82.3
20260617T001356Z,22.80001,82.20003
20260617T001410Z,22.9,82.10002
20260617T001426Z,22.9,82.10002
20260617T001441Z,23.0,81.9
20260617T001456Z,23.0,81.8
20260617T001511Z,23.1,81.70003
20260617T001527Z,23.20001,81.60002
20260617T001541Z,23.20001,81.5
20260617T001556Z,23.20001,81.4
20260617T001611Z,23.30001,81.3
20260617T001627Z,23.30001,81.3
20260617T001642Z,23.4,81.20003
20260617T001657Z,23.4,81.10002
20260617T001713Z,23.5,81.0
20260617T001728Z,23.5,80.8
20260617T001743Z,23.5,80.70003
20260617T001758Z,23.6,80.70003
20260617T001814Z,23.6,80.60002
20260617T001829Z,23.6,80.5
20260617T001843Z,23.70001,80.3
20260617T001859Z,23.70001,80.20003
20260617T001913Z,23.70001,80.10002
20260617T001928Z,23.80001,80.0
20260617T001943Z,23.80001,80.0
20260617T001959Z,23.80001,79.9
20260617T002014Z,23.9,79.8
20260617T002028Z,23.9,79.9
20260617T002043Z,23.9,79.9
20260617T002059Z,23.9,79.9
20260617T002113Z,24.0,79.9
20260617T002128Z,24.0,79.70003
20260617T002143Z,24.0,79.70003
20260617T002158Z,24.1,79.70003
20260617T002213Z,24.1,79.60002
20260617T002227Z,24.1,79.5
20260617T002243Z,24.1,79.60002
20260617T002257Z,24.1,79.60002
20260617T002312Z,24.20001,79.5
20260617T002328Z,24.20001,79.5
20260617T002342Z,24.20001,79.5
20260617T002357Z,24.20001,79.5
20260617T002412Z,24.20001,79.5
