Time,Temperature,Humidity
20260621T000002Z,26.8,81.5
20260621T000017Z,26.8,81.4
20260621T000032Z,26.8,81.4
20260621T000047Z,26.8,81.4
20260621T000102Z,26.8,81.4
20260621T000117Z,26.8,81.4
20260621T000132Z,26.8,81.4
20260621T000147Z,26.8,81.5
20260621T000202Z,26.8,81.5
20260621T000217Z,26.8,81.5
20260621T000232Z,26.8,81.5
20260621T000247Z,26.9,81.5
20260621T000302Z,26.8,81.6
20260621T000317Z,26.9,81.5
20260621T000332Z,26.8,81.5
20260621T000347Z,26.8,81.6
20260621T000402Z,26.9,81.6
20260621T000417Z,26.9,81.5
20260621T000432Z,26.9,81.6
20260621T000447Z,26.9,81.6
20260621T000502Z,26.9,81.6
20260621T000517Z,26.9,81.6
20260621T000532Z,26.9,81.6
20260621T000547Z,26.9,81.6
20260621T000602Z,26.9,81.6
20260621T000617Z,26.9,81.6
20260621T000632Z,26.9,81.6
20260621T000647Z,26.9,81.6
20260621T000702Z,26.9,81.6
20260621T000717Z,26.9,81.6
20260621T000732Z,26.9,81.6
20260621T000747Z,26.9,81.6
20260621T000802Z,26.9,81.6
20260621T000817Z,26.9,81.6
20260621T000832Z,26.9,81.6
20260621T000847Z,26.9,81.6
20260621T000902Z,26.9,81.6
20260621T000917Z,26.9,81.6
20260621T000932Z,26.9,81.6
20260621T000947Z,26.9,81.6
20260621T001002Z,26.9,81.6
20260621T001017Z,26.9,81.6
20260621T001032Z,26.9,81.6
20260621T001047Z,26.9,81.6
20260621T001102Z,26.9,81.7
20260621T001117Z,27.0,81.7
20260621T001132Z,26.9,81.6
20260621T001147Z,26.9,81.6
20260621T001202Z,27.0,81.6
20260621T001217Z,27.0,81.6
20260621T001232Z,27.0,81.6
20260621T001247Z,27.0,81.6
20260621T001302Z,27.0,81.6
20260621T001317Z,27.0,81.6
20260621T001332Z,27.0,81.7
20260621T001347Z,27.0,81.6
20260621T001402Z,27.0,81.6
20260621T001417Z,27.0,81.6
20260621T001432Z,27.0,81.7
20260621T001447Z,27.0,81.7
20260621T001502Z,27.0,81.7
20260621T001517Z,27.0,81.7
20260621T001532Z,27.0,81.7
20260621T001547Z,27.0,81.6
20260621T001602Z,27.0,81.7
20260621T001617Z,27.0,81.7
20260621T001632Z,27.0,81.7
20260621T001647Z,27.0,81.7
20260621T001702Z,27.0,81.7
20260621T001717Z,27.0,81.7
20260621T001732Z,27.0,81.7
20260621T001747Z,27.0,81.7
20260621T001802Z,27.0,81.7
20260621T001817Z,27.0,81.7
20260621T001832Z,27.1,81.8
20260621T001847Z,27.0,81.7
20260621T001902Z,27.0,81.8
20260621T001917Z,27.1,81.8
20260621T001932Z,27.1,81.7
20260621T001947Z,27.0,81.8
20260621T002002Z,27.0,81.8
20260621T002017Z,27.0,81.8
20260621T002032Z,27.0,81.8
20260621T002047Z,27.0,81.8
20260621T002102Z,27.1,81.8
20260621T002117Z,27.1,81.8
20260621T002132Z,27.1,81.8
20260621T002147Z,27.1,81.8
20260621T002202Z,27.1,81.8
20260621T002217Z,27.1,81.8
20260621T002232Z,27.1,81.8
20260621T002247Z,27.1,81.8
20260621T002302Z,27.1,81.8
20260621T002317Z,27.1,81.8
20260621T002332Z,27.1,81.8
20260621T002347Z,27.1,81.8
20260621T002402Z,27.1,81.8
20260621T002417Z,27.1,81.9
20260621T002432Z,27.1,82.0
20260621T002447Z,27.1,81.9
20260621T002502Z,27.1,81.8
20260621T002517Z,27.1,81.8
20260621T002532Z,27.1,81.8
20260621T002547Z,27.1,81.8
20260621T002602Z,27.1,81.8
20260621T002617Z,27.1,81.8
20260621T002632Z,27.1,81.9
20260621T002647Z,27.1,81.9
20260621T002702Z,27.1,81.9
20260621T002717Z,27.1,81.9
20260621T002732Z,27.1,81.9
20260621T002747Z,27.1,81.9
20260621T002802Z,27.1,81.9
20260621T002817Z,27.1,81.9
20260621T002832Z,27.1,81.9
20260621T002847Z,27.1,81.9
20260621T002902Z,27.2,81.9
20260621T002917Z,27.1,81.9
20260621T002932Z,27.2,81.9
20260621T002947Z,27.1,81.9
20260621T003002Z,27.2,81.9
20260621T003017Z,27.2,81.9
20260621T003032Z,27.2,81.9
20260621T003047Z,27.2,81.9
20260621T003102Z,27.2,81.9
20260621T003117Z,27.2,81.9
20260621T003132Z,27.2,82.0
20260621T003147Z,27.2,82.0
20260621T003202Z,27.2,81.9
20260621T003217Z,27.2,82.0
20260621T003232Z,27.2,82.0
20260621T003247Z,27.2,82.0
20260621T003302Z,27.2,82.0
20260621T003317Z,27.2,82.0
20260621T003332Z,27.2,82.0
20260621T003347Z,27.2,82.0
20260621T003402Z,27.2,82.0
20260621T003417Z,27.2,82.0
20260621T003432Z,27.2,82.0
20260621T003447Z,27.2,82.0
20260621T003502Z,27.2,82.0
20260621T003517Z,27.2,82.0
20260621T003532Z,27.2,82.0
20260621T003547Z,27.2,82.0
20260621T003602Z,27.2,82.0
20260621T003617Z,27.2,82.0
20260621T003632Z,27.2,82.0
20260621T003647Z,27.2,82.1
20260621T003702Z,27.2,82.1
20260621T003717Z,27.2,82.1
20260621T003732Z,27.2,82.1
20260621T003747Z,27.2,82.1
20260621T003802Z,27.2,82.1
20260621T003817Z,27.2,82.1
20260621T003832Z,27.2,82.1
20260621T003847Z,27.2,82.1
20260621T003902Z,27.2,82.1
20260621T003917Z,27.2,82.2
20260621T003932Z,27.2,82.2
20260621T003947Z,27.2,82.2
20260621T004002Z,27.2,82.2
20260621T004017Z,27.2,82.2
20260621T004032Z,27.2,82.2
20260621T004047Z,27.2,82.2
20260621T004102Z,27.2,82.2
20260621T004117Z,27.2,82.2
20260621T004132Z,27.2,82.2
20260621T004147Z,27.2,82.2
20260621T004202Z,27.2,82.2
20260621T004217Z,27.3,82.2
20260621T004232Z,27.3,82.2
20260621T004247Z,27.3,82.2
20260621T004302Z,27.2,82.2
20260621T004317Z,27.3,82.2
20260621T004332Z,27.3,82.2
20260621T004347Z,27.3,82.3
20260621T004402Z,27.2,82.3
20260621T004417Z,27.2,82.3
20260621T004432Z,27.3,82.3
20260621T004447Z,27.3,82.3
20260621T004502Z,27.3,82.3
20260621T004517Z,27.3,82.4
20260621T004532Z,27.3,82.4
20260621T004547Z,27.3,82.4
20260621T004602Z,27.3,82.4
20260621T004617Z,27.3,82.3
20260621T004632Z,27.3,82.4
20260621T004647Z,27.3,82.3
20260621T004702Z,27.3,82.4
20260621T004717Z,27.3,82.3
20260621T004732Z,27.3,82.3
20260621T004747Z,27.3,82.4
20260621T004802Z,27.3,82.4
20260621T004817Z,27.3,82.4
20260621T004832Z,27.3,82.4
20260621T004847Z,27.3,82.4
20260621T004902Z,27.3,82.5
20260621T004917Z,27.3,82.4
20260621T004932Z,27.3,82.4
20260621T004947Z,27.3,82.4
20260621T005002Z,27.3,82.5
20260621T005017Z,27.3,82.5
20260621T005032Z,27.3,82.5
20260621T005047Z,27.3,82.4
20260621T005102Z,27.3,82.4
20260621T005117Z,27.3,82.5
20260621T005132Z,27.3,82.5
20260621T005147Z,27.3,82.4
20260621T005202Z,27.4,82.5
20260621T005217Z,27.4,82.5
20260621T005232Z,27.4,82.4
20260621T005247Z,27.4,82.4
20260621T005302Z,27.4,82.4
20260621T005317Z,27.4,82.4
20260621T005332Z,27.4,82.4
20260621T005347Z,27.4,82.4
20260621T005402Z,27.4,82.5
20260621T005417Z,27.4,82.4
20260621T005432Z,27.4,82.4
20260621T005447Z,27.4,82.4
20260621T005502Z,27.4,82.5
20260621T005517Z,27.4,82.5
20260621T005532Z,27.4,82.5
20260621T005547Z,27.4,82.5
20260621T005602Z,27.4,83.4
20260621T005617Z,27.4,83.9
20260621T005632Z,27.4,83.7
20260621T005647Z,27.4,83.6
20260621T005702Z,27.4,83.7
20260621T005717Z,27.4,83.6
20260621T005732Z,27.4,83.6
20260621T005747Z,27.4,83.5
20260621T005802Z,27.4,83.4
20260621T005817Z,27.4,83.4
20260621T005832Z,27.4,83.4
20260621T005847Z,27.5,83.3
20260621T005902Z,27.5,83.3
20260621T005917Z,27.5,83.3
20260621T005932Z,27.5,83.3
20260621T005947Z,27.5,83.3
20260621T010002Z,27.5,83.3
20260621T010017Z,27.5,83.3
20260621T010032Z,27.5,83.3
20260621T010047Z,27.5,83.3
20260621T010102Z,27.5,83.2
20260621T010117Z,27.5,83.2
20260621T010132Z,27.5,83.2
20260621T010147Z,27.5,83.2
20260621T010202Z,27.5,83.2
20260621T010217Z,27.5,83.2
20260621T010232Z,27.5,83.2
20260621T010247Z,27.5,83.2
