Time,Temperature,Humidity
20260625T012511Z,24.1,90.2
20260625T012525Z,24.1,87.4
20260625T012540Z,24.1,86.1
20260625T012554Z,23.9,83.9
20260625T012609Z,23.7,83.8
20260625T012625Z,23.4,84.3
20260625T012639Z,23.1,83.6
20260625T012655Z,22.9,84.2
20260625T012710Z,22.7,83.7
20260625T012724Z,22.5,82.6
20260625T012740Z,22.3,82.4
20260625T012754Z,22.1,82.9
20260625T012810Z,21.9,81.7
20260625T012824Z,21.8,81.7
20260625T012840Z,21.6,81.3
20260625T012854Z,21.5,81.1
20260625T012910Z,21.4,83.4
20260625T012924Z,21.4,87.4
20260625T012940Z,21.5,89.3
20260625T012954Z,21.7,90.0
20260625T013009Z,21.9,89.2
20260625T013024Z,22.1,89.7
20260625T013040Z,22.3,89.8
20260625T013054Z,22.5,89.5
20260625T013110Z,22.6,89.6
20260625T013124Z,22.8,89.5
20260625T013139Z,22.9,89.9
20260625T013155Z,23.0,89.3
20260625T013209Z,23.2,88.9
20260625T013225Z,23.3,89.2
20260625T013239Z,23.4,89.5
20260625T013255Z,23.5,89.3
20260625T013310Z,23.6,89.3
20260625T013325Z,23.6,89.3
20260625T013340Z,23.7,89.5
20260625T013354Z,23.8,89.5
20260625T013409Z,23.9,89.3
20260625T022009Z,24.2,96.5
20260625T022023Z,24.4,95.9
20260625T022038Z,24.6,95.9
20260625T022052Z,24.7,95.6
20260625T022107Z,24.8,95.4
20260625T022122Z,24.8,95.5
20260625T022137Z,24.9,95.4
20260625T022152Z,24.9,95.4
20260625T022207Z,25.0,95.2
20260625T022222Z,25.0,95.2
20260625T022237Z,25.1,95.3
20260625T022252Z,25.1,95.2
20260625T022307Z,25.1,95.3
20260625T022322Z,25.2,95.3
20260625T022337Z,25.2,95.4
20260625T022352Z,25.3,95.3
20260625T022407Z,25.3,95.2
20260625T022422Z,25.4,95.2
20260625T022437Z,25.4,95.0
20260625T022452Z,25.5,95.1
20260625T045217Z,27.3,92.3
20260625T045232Z,27.4,92.7
20260625T045246Z,27.5,89.3
20260625T045301Z,27.5,87.0
20260625T045316Z,27.5,86.7
20260625T045331Z,27.4,85.9
20260625T045346Z,27.2,85.4
20260625T045401Z,27.1,85.0
20260625T045416Z,27.0,86.1
20260625T045431Z,26.9,85.1
20260625T045446Z,26.8,85.7
20260625T045501Z,26.7,85.3
20260625T045516Z,26.6,85.9
20260625T045531Z,26.5,85.0
20260625T045546Z,26.4,85.0
20260625T045601Z,26.3,85.2
20260625T045616Z,26.3,84.9
20260625T045631Z,26.2,84.8
20260625T045646Z,26.1,85.2
20260625T045701Z,26.1,85.2
20260625T045716Z,26.0,84.8
20260625T045731Z,26.0,84.4
20260625T045746Z,25.9,80.2
