Time,Temperature,Humidity
20260626T011413Z,23.8,96.7
20260626T011427Z,24.0,95.8
20260626T011442Z,24.1,95.4
20260626T011456Z,24.2,94.9
20260626T011511Z,24.3,94.9
20260626T011526Z,24.4,94.3
20260626T011541Z,24.5,94.4
20260626T011556Z,24.5,94.2
20260626T011611Z,24.6,94.2
20260626T011626Z,24.7,93.9
20260626T011641Z,24.8,93.7
20260626T011656Z,24.8,93.9
20260626T011711Z,24.9,93.5
20260626T011726Z,25.0,93.5
20260626T011741Z,25.0,93.6
20260626T011756Z,25.1,93.4
20260626T011811Z,25.1,93.4
20260626T011826Z,25.2,93.4
20260626T011841Z,25.2,93.3
20260626T011856Z,25.2,93.4
20260626T011911Z,25.3,93.2
20260626T011927Z,25.3,93.3
20260626T011941Z,25.4,93.3
20260626T011957Z,25.4,93.3
20260626T012012Z,25.4,93.2
20260626T012026Z,25.5,93.2
20260626T012042Z,25.5,91.5
20260626T012056Z,25.4,89.6
20260626T012112Z,25.4,87.0
20260626T012126Z,25.2,85.2
20260626T012142Z,25.0,84.1
20260626T012156Z,24.8,84.4
20260626T012211Z,24.4,82.9
20260626T012226Z,24.0,83.3
20260626T012242Z,23.7,83.0
20260626T012256Z,23.4,83.4
20260626T012311Z,23.1,83.6
20260626T012327Z,22.8,83.7
20260626T012341Z,22.6,84.5
20260626T012357Z,22.5,84.1
20260626T012411Z,22.3,83.8
20260626T012427Z,22.2,82.6
20260626T012441Z,22.1,83.3
20260626T012457Z,22.0,82.3
20260626T012511Z,21.9,81.4
20260626T012527Z,21.8,80.3
20260626T012541Z,21.7,81.1
20260626T012557Z,21.5,79.3
20260626T012611Z,21.4,79.3
20260626T012626Z,21.3,80.0
20260626T012642Z,21.3,83.3
20260626T012656Z,21.4,86.3
20260626T012712Z,21.5,87.8
20260626T012726Z,21.7,88.0
20260626T012742Z,21.9,88.4
20260626T012756Z,22.1,88.2
20260626T012812Z,22.3,87.8
20260626T012826Z,22.5,88.1
20260626T012842Z,22.7,87.7
20260626T012856Z,22.9,87.8
20260626T012911Z,23.0,87.7
20260626T012926Z,23.1,87.8
20260626T012941Z,23.3,87.5
20260626T012957Z,23.4,87.8
20260626T013012Z,23.5,87.4
20260626T013026Z,23.6,87.2
20260626T013042Z,23.7,87.5
20260626T013056Z,23.8,87.5
20260626T013112Z,23.9,87.7
20260626T013126Z,24.0,87.5
20260626T013141Z,24.1,87.8
20260626T013157Z,24.2,88.1
20260626T013211Z,24.2,87.8
20260626T013227Z,24.3,88.1
20260626T013242Z,24.4,88.1
20260626T013257Z,24.5,87.8
20260626T013311Z,24.5,88.1
20260626T013327Z,24.6,88.5
20260626T013341Z,24.6,88.6
20260626T013357Z,24.7,88.6
20260626T013411Z,24.8,88.7
20260626T013427Z,24.8,88.9
20260626T013441Z,24.9,88.6
20260626T013457Z,24.9,89.0
20260626T013511Z,25.0,88.9
20260626T013527Z,25.0,89.6
20260626T013541Z,25.0,88.9
20260626T013556Z,25.1,89.3
20260626T013611Z,25.1,89.7
20260626T013627Z,25.2,89.6
20260626T013641Z,25.2,89.7
20260626T013656Z,25.2,89.9
20260626T013712Z,25.3,90.4
20260626T013726Z,25.3,90.3
20260626T013742Z,25.3,90.2
20260626T013756Z,25.3,91.4
20260626T013812Z,25.4,90.4
20260626T013827Z,25.4,89.3
20260626T013842Z,25.4,85.9
20260626T013856Z,25.3,83.0
20260626T013912Z,25.1,81.8
20260626T013927Z,24.8,80.8
20260626T013942Z,24.4,80.1
20260626T013956Z,24.0,80.2
20260626T014012Z,23.7,80.9
20260626T014026Z,23.4,81.1
20260626T014042Z,23.1,81.2
20260626T014056Z,22.9,81.1
20260626T014112Z,22.7,82.4
20260626T014126Z,22.5,80.7
20260626T014142Z,22.3,79.3
20260626T014157Z,22.2,78.5
20260626T014212Z,22.0,79.2
20260626T014226Z,21.9,79.5
20260626T014242Z,21.7,78.5
20260626T014256Z,21.6,77.3
20260626T014312Z,21.4,77.3
20260626T014326Z,21.3,80.4
20260626T014342Z,21.3,83.9
20260626T014356Z,21.4,86.2
20260626T014412Z,21.6,87.0
20260626T014426Z,21.8,86.6
20260626T014442Z,22.0,86.9
20260626T014456Z,22.2,86.5
20260626T014511Z,22.4,86.5
20260626T014526Z,22.6,86.1
20260626T014541Z,22.8,86.5
20260626T014557Z,22.9,85.9
20260626T014612Z,23.1,86.5
20260626T014626Z,23.2,86.3
20260626T014642Z,23.3,86.3
20260626T014656Z,23.4,86.5
20260626T014711Z,23.6,85.8
20260626T014727Z,23.7,86.2
20260626T014741Z,23.8,85.9
20260626T014757Z,23.9,86.0
20260626T014811Z,24.0,86.3
20260626T014826Z,24.0,86.2
20260626T014842Z,24.1,86.3
20260626T014856Z,24.2,86.7
20260626T014912Z,24.3,86.5
20260626T014926Z,24.4,87.5
20260626T014942Z,24.4,87.5
20260626T014956Z,24.5,87.0
20260626T015012Z,24.6,87.0
20260626T015026Z,24.6,86.9
20260626T015042Z,24.7,87.5
20260626T015056Z,24.7,87.5
20260626T015112Z,24.7,87.0
20260626T015126Z,24.8,87.4
20260626T015141Z,24.8,87.8
20260626T015157Z,24.9,87.9
20260626T015211Z,24.9,88.0
20260626T015227Z,24.9,88.0
20260626T015241Z,25.0,88.1
20260626T015257Z,25.0,88.6
20260626T015311Z,25.1,89.2
20260626T015327Z,25.1,88.7
20260626T015341Z,25.1,88.8
20260626T015357Z,25.2,88.5
20260626T015411Z,25.2,88.6
20260626T015426Z,25.2,88.8
20260626T015442Z,25.3,89.2
20260626T015456Z,25.3,89.2
20260626T015511Z,25.3,89.4
20260626T015527Z,25.3,89.7
20260626T015541Z,25.3,89.6
20260626T015557Z,25.4,90.1
20260626T015611Z,25.4,90.4
20260626T015627Z,25.4,90.5
20260626T015641Z,25.5,90.4
20260626T015657Z,25.5,90.7
20260626T015711Z,25.5,90.5
20260626T015727Z,25.6,90.8
20260626T015742Z,25.6,90.8
20260626T015757Z,25.6,90.8
20260626T015812Z,25.6,90.9
20260626T015826Z,25.6,91.0
20260626T015842Z,25.6,90.9
20260626T015856Z,25.6,91.2
20260626T015912Z,25.7,91.1
20260626T015926Z,25.7,91.1
20260626T015942Z,25.7,91.3
20260626T015956Z,25.7,91.5
20260626T020012Z,25.7,91.5
20260626T020026Z,25.7,91.6
20260626T020041Z,25.8,91.6
20260626T020057Z,25.8,91.8
20260626T020111Z,25.8,91.8
20260626T020127Z,25.8,91.7
20260626T020141Z,25.8,91.9
20260626T020157Z,25.9,91.9
20260626T020211Z,25.9,91.9
20260626T020226Z,25.9,92.0
20260626T020242Z,26.0,91.9
20260626T020256Z,26.0,91.8
20260626T020311Z,26.0,91.9
20260626T020326Z,26.0,91.9
20260626T020341Z,26.0,92.0
20260626T020357Z,26.0,92.0
20260626T020412Z,26.1,92.0
20260626T020427Z,26.1,92.1
20260626T020441Z,26.1,92.1
20260626T020457Z,26.1,92.4
20260626T020512Z,26.1,92.3
20260626T020527Z,26.1,92.2
20260626T020541Z,26.1,92.3
20260626T020557Z,26.1,92.4
20260626T020611Z,26.1,92.5
20260626T020627Z,26.1,92.4
20260626T020641Z,26.2,92.5
20260626T020657Z,26.2,92.3
20260626T020712Z,26.2,92.5
20260626T020727Z,26.2,92.5
20260626T020741Z,26.2,92.2
20260626T020757Z,26.2,92.5
20260626T020811Z,26.2,92.5
20260626T020827Z,26.2,92.7
20260626T020841Z,26.2,92.7
20260626T020857Z,26.2,92.8
20260626T020911Z,26.2,92.8
20260626T020927Z,26.2,92.8
20260626T020941Z,26.2,92.9
20260626T020957Z,26.2,93.0
20260626T021011Z,26.2,93.0
20260626T021027Z,26.2,93.0
20260626T021041Z,26.2,93.0
20260626T021056Z,26.3,93.0
20260626T021111Z,26.2,93.0
20260626T021127Z,26.3,93.0
20260626T021142Z,26.3,93.2
20260626T021157Z,26.3,93.1
20260626T021211Z,26.3,93.0
20260626T021227Z,26.3,93.1
20260626T021241Z,26.3,93.2
20260626T021257Z,26.3,93.1
20260626T021311Z,26.3,93.1
20260626T021327Z,26.3,93.2
20260626T021342Z,26.3,93.2
20260626T021356Z,26.3,93.2
20260626T021412Z,26.3,93.2
20260626T021427Z,26.3,93.2
20260626T021441Z,26.3,93.3
20260626T021457Z,26.3,93.2
20260626T021511Z,26.3,93.3
20260626T021527Z,26.3,93.3
20260626T021541Z,26.4,93.2
20260626T021557Z,26.4,93.3
20260626T021611Z,26.4,93.3
20260626T021627Z,26.4,93.2
20260626T021642Z,26.4,93.2
20260626T021657Z,26.4,93.3
20260626T021712Z,26.4,93.2
20260626T021727Z,26.4,93.2
20260626T021742Z,26.4,93.3
20260626T021757Z,26.4,93.2
20260626T021812Z,26.4,93.2
20260626T021827Z,26.4,93.3
20260626T021841Z,26.4,93.3
20260626T021857Z,26.4,93.2
20260626T021912Z,26.4,93.2
20260626T021926Z,26.4,93.2
20260626T021942Z,26.4,93.2
20260626T021957Z,26.4,93.1
20260626T022012Z,26.5,93.2
20260626T022027Z,26.5,93.2
20260626T022042Z,26.5,93.2
20260626T022057Z,26.5,93.1
20260626T022112Z,26.5,93.1
20260626T022127Z,26.5,93.1
20260626T022142Z,26.5,93.1
20260626T022157Z,26.5,93.1
20260626T022212Z,26.5,93.1
20260626T022227Z,26.5,93.1
20260626T022242Z,26.5,93.0
20260626T022257Z,26.5,92.9
20260626T022312Z,26.5,92.7
20260626T022327Z,26.6,92.4
20260626T022342Z,26.6,92.4
20260626T022357Z,26.6,92.2
20260626T022412Z,26.6,92.1
20260626T022427Z,26.6,92.0
20260626T022442Z,26.6,91.8
20260626T022457Z,26.6,91.6
20260626T022512Z,26.7,91.5
20260626T022527Z,26.7,91.5
20260626T022542Z,26.7,91.5
20260626T022557Z,26.7,91.4
20260626T022612Z,26.7,91.3
20260626T022627Z,26.7,91.3
20260626T022642Z,26.7,91.1
20260626T022657Z,26.7,91.0
20260626T022712Z,26.7,91.0
20260626T022727Z,26.7,91.0
20260626T022742Z,26.7,90.9
20260626T022757Z,26.7,90.9
20260626T022812Z,26.8,90.8
20260626T022827Z,26.8,90.7
20260626T022842Z,26.8,90.7
20260626T022857Z,26.7,90.6
20260626T022912Z,26.8,90.5
20260626T022927Z,26.8,90.4
20260626T022942Z,26.8,90.4
20260626T022957Z,26.8,90.4
20260626T023012Z,26.8,90.3
20260626T023027Z,26.8,90.3
20260626T023042Z,26.8,90.2
20260626T023057Z,26.8,90.1
20260626T023112Z,26.8,90.1
20260626T023127Z,26.8,90.0
20260626T023142Z,26.8,90.0
20260626T023157Z,26.8,89.9
20260626T023212Z,26.8,90.0
20260626T023227Z,26.8,89.8
20260626T023242Z,26.9,89.5
20260626T023257Z,26.9,89.5
20260626T023312Z,26.9,89.5
20260626T023327Z,26.9,89.5
20260626T023342Z,26.9,89.5
20260626T023357Z,26.9,90.5
20260626T023412Z,27.0,89.8
20260626T023427Z,27.0,89.6
20260626T023442Z,27.0,89.2
20260626T023457Z,27.0,89.1
20260626T023512Z,27.0,89.1
20260626T023527Z,27.0,89.1
20260626T023542Z,27.0,88.9
20260626T023557Z,27.0,88.9
20260626T023612Z,27.0,88.7
20260626T023627Z,27.0,88.6
