Time,Temperature,Humidity
20260620T000012Z,23.8,82.5
20260620T000027Z,23.8,82.7
20260620T000042Z,23.8,82.8
20260620T000057Z,23.8,82.5
20260620T000112Z,23.8,82.3
20260620T000127Z,23.8,82.6
20260620T000142Z,23.8,82.5
20260620T000157Z,23.8,82.4
20260620T000212Z,23.8,82.7
20260620T000227Z,23.8,82.6
20260620T000242Z,23.8,82.4
20260620T000257Z,23.8,82.8
20260620T000312Z,23.8,82.4
20260620T000327Z,23.8,82.5
20260620T000342Z,23.8,82.4
20260620T000357Z,23.8,82.8
20260620T000412Z,23.8,82.7
20260620T000427Z,23.8,82.7
20260620T000442Z,23.8,82.7
20260620T000457Z,23.8,82.4
20260620T000512Z,23.8,82.6
20260620T000527Z,23.8,82.6
20260620T000542Z,23.8,82.6
20260620T000557Z,23.8,82.7
20260620T000612Z,23.8,82.3
20260620T000627Z,23.8,82.4
20260620T000642Z,23.8,82.6
20260620T000657Z,23.8,82.5
20260620T000712Z,23.8,82.5
20260620T000727Z,23.8,82.6
20260620T000742Z,23.8,82.8
20260620T000757Z,23.8,82.7
20260620T000812Z,23.8,82.3
20260620T000827Z,23.8,82.7
20260620T000842Z,23.8,82.4
20260620T000857Z,23.8,82.7
20260620T000912Z,23.8,82.6
20260620T000927Z,23.8,82.7
20260620T000942Z,23.8,82.6
20260620T000957Z,23.8,82.7
20260620T001012Z,23.8,82.4
20260620T001027Z,23.8,82.6
20260620T001042Z,23.8,82.6
20260620T001057Z,23.8,82.5
20260620T001112Z,23.8,83.0
20260620T001127Z,23.8,82.6
20260620T001142Z,23.8,82.5
20260620T001157Z,23.8,82.7
20260620T001212Z,23.8,82.5
20260620T001227Z,23.8,82.7
20260620T001242Z,23.8,82.6
20260620T001257Z,23.8,82.5
20260620T001312Z,23.8,82.7
20260620T001327Z,23.8,82.6
20260620T001342Z,23.8,82.4
20260620T001357Z,23.8,82.5
20260620T001412Z,23.8,82.9
20260620T001427Z,23.8,82.5
20260620T001442Z,23.8,82.7
20260620T001457Z,23.8,82.7
