Time,Temperature,Humidity
20260809T000012Z,25.6,86.8
20260809T000027Z,25.7,87.0
20260809T000042Z,25.7,87.1
20260809T000057Z,25.7,87.4
20260809T000112Z,25.7,87.7
20260809T000127Z,25.7,87.7
20260809T000142Z,25.8,87.8
20260809T000157Z,25.8,88.0
20260809T000212Z,25.8,88.1
20260809T000227Z,25.8,88.3
20260809T000242Z,25.8,88.4
20260809T000257Z,25.9,88.4
20260809T000312Z,25.9,88.6
20260809T000327Z,25.9,88.7
20260809T000342Z,25.9,88.7
20260809T000357Z,26.0,88.7
20260809T000412Z,26.0,88.8
20260809T000427Z,26.0,88.9
20260809T000442Z,26.0,88.9
20260809T000457Z,26.0,89.0
20260809T000512Z,26.1,89.0
20260809T000527Z,26.1,89.0
20260809T000542Z,26.1,89.0
20260809T000557Z,26.1,89.0
20260809T000612Z,26.1,89.0
20260809T000627Z,26.2,89.1
20260809T000642Z,26.2,89.0
20260809T000657Z,26.2,89.0
20260809T000712Z,26.2,89.0
20260809T000727Z,26.2,89.1
20260809T000742Z,26.3,89.1
20260809T000757Z,26.3,89.0
20260809T000812Z,26.3,89.1
20260809T000827Z,26.3,89.1
20260809T000842Z,26.3,89.0
20260809T000857Z,26.4,89.0
20260809T000912Z,26.4,89.0
20260809T000927Z,26.4,89.0
20260809T000942Z,26.4,89.0
20260809T000957Z,26.4,89.0
20260809T001012Z,26.4,89.0
20260809T001027Z,26.4,89.0
20260809T001042Z,26.5,89.0
20260809T001057Z,26.5,89.0
20260809T001112Z,26.5,89.0
20260809T001127Z,26.5,88.9
20260809T001142Z,26.5,88.7
20260809T001157Z,26.5,87.5
20260809T001212Z,26.5,86.6
20260809T001227Z,26.5,86.1
20260809T001242Z,26.4,85.2
20260809T001257Z,26.4,84.3
20260809T001312Z,26.3,83.5
20260809T001327Z,26.3,82.6
20260809T001342Z,26.2,82.5
20260809T001357Z,26.1,81.6
20260809T001412Z,26.1,81.4
20260809T001427Z,26.0,80.0
20260809T001442Z,25.9,79.8
20260809T001457Z,25.8,78.9
20260809T001512Z,25.8,79.2
20260809T001527Z,25.7,80.1
20260809T001542Z,25.6,78.0
20260809T001557Z,25.6,77.0
20260809T001612Z,25.5,78.7
20260809T001627Z,25.5,78.6
20260809T001642Z,25.4,79.9
20260809T001657Z,25.4,80.9
20260809T001712Z,25.4,81.7
20260809T001727Z,25.4,82.2
20260809T001742Z,25.4,82.4
20260809T001757Z,25.4,82.9
20260809T001812Z,25.4,83.0
20260809T001827Z,25.4,83.4
20260809T001842Z,25.4,83.7
20260809T001857Z,25.4,83.9
20260809T001912Z,25.4,84.3
20260809T001927Z,25.4,84.7
20260809T001942Z,25.5,84.9
